confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,suspectedCount,suspectedCountIncr,provinceName
1,1,0,0,1,1,20200122,0,0,0,香港
2,1,0,0,2,1,20200123,0,0,0,香港
5,3,0,0,5,3,20200124,0,0,0,香港
5,0,0,0,5,0,20200125,0,0,0,香港
8,3,0,0,8,3,20200126,0,0,0,香港
8,0,0,0,8,0,20200127,0,0,0,香港
8,0,0,0,8,0,20200128,0,0,0,香港
10,2,0,0,10,2,20200129,0,0,0,香港
12,2,0,0,12,2,20200130,0,0,0,香港
13,1,0,0,13,1,20200131,0,0,0,香港
14,1,0,0,14,1,20200201,0,0,0,香港
15,1,0,0,15,1,20200202,0,0,0,香港
15,0,0,0,15,0,20200203,0,0,0,香港
18,3,0,0,17,2,20200204,1,0,0,香港
21,3,0,0,20,3,20200205,1,0,0,香港
24,3,0,0,23,3,20200206,1,0,0,香港
26,2,0,0,25,2,20200207,1,0,0,香港
26,0,0,0,25,0,20200208,1,0,0,香港
36,10,0,0,35,10,20200209,1,0,0,香港
42,6,0,0,41,6,20200210,1,0,0,香港
49,7,0,0,48,7,20200211,1,0,0,香港
50,1,1,1,48,0,20200212,1,0,0,香港
53,3,1,0,51,3,20200213,1,0,0,香港
56,3,1,0,54,3,20200214,1,0,0,香港
56,0,1,0,54,0,20200215,1,0,0,香港
57,1,2,1,54,0,20200216,1,0,0,香港
60,3,2,0,57,3,20200217,1,0,0,香港
62,2,4,2,57,0,20200218,1,0,0,香港
65,3,5,1,58,1,20200219,2,0,0,香港
68,3,5,0,61,3,20200220,2,0,0,香港
68,0,6,1,60,-1,20200221,2,0,0,香港
69,1,11,5,56,-4,20200222,2,0,0,香港
74,5,12,1,60,4,20200223,2,0,0,香港
81,7,19,7,60,0,20200224,2,0,0,香港
85,4,18,-1,65,5,20200225,2,0,0,香港
91,6,24,6,65,0,20200226,2,0,0,香港
93,2,26,2,65,0,20200227,2,0,0,香港
94,1,30,4,62,-3,20200228,2,0,0,香港
95,1,33,3,60,-2,20200229,2,0,0,香港
98,3,36,3,60,0,20200301,2,0,0,香港
100,2,36,0,62,2,20200302,2,0,0,香港
100,0,37,1,61,-1,20200303,2,0,0,香港
105,5,43,6,60,-1,20200304,2,0,0,香港
105,0,46,3,57,-3,20200305,2,0,0,香港
107,2,51,5,54,-3,20200306,2,0,0,香港
109,2,55,4,52,-2,20200307,2,0,0,香港
114,5,59,4,52,0,20200308,3,0,0,香港
115,1,60,1,52,0,20200309,3,0,0,香港
120,5,65,5,52,0,20200310,3,0,0,香港
129,9,67,2,59,7,20200311,3,0,0,香港
131,2,75,8,53,-6,20200312,3,0,0,香港
137,6,78,3,55,2,20200313,4,0,0,香港
141,4,81,3,56,1,20200314,4,0,0,香港
149,8,84,3,61,5,20200315,4,0,0,香港
157,8,88,4,65,4,20200316,4,0,0,香港
167,10,92,4,71,6,20200317,4,0,0,香港
192,25,95,3,93,22,20200318,4,0,0,香港
208,16,98,3,106,13,20200319,4,0,0,香港
256,48,98,0,154,48,20200320,4,0,0,香港
273,17,100,2,169,15,20200321,4,0,0,香港
317,44,100,0,213,44,20200322,4,0,0,香港
356,39,101,1,251,38,20200323,4,0,0,香港
386,30,102,1,280,29,20200324,4,0,0,香港
410,24,106,4,300,20,20200325,4,24,24,香港
453,43,110,4,339,39,20200326,4,24,0,香港
518,65,111,1,403,64,20200327,4,24,0,香港
582,64,112,1,466,63,20200328,4,21,-3,香港
641,59,118,6,519,53,20200329,4,21,0,香港
682,41,124,6,554,35,20200330,4,55,34,香港
714,32,128,4,582,28,20200331,4,55,0,香港
765,51,147,19,614,32,20200401,4,55,0,香港
802,37,154,7,644,30,20200402,4,0,-55,香港
845,43,173,19,668,24,20200403,4,0,0,香港
862,17,186,13,672,4,20200404,4,37,37,香港
890,28,206,20,680,8,20200405,4,37,0,香港
914,24,216,10,694,14,20200406,4,24,-13,香港
935,21,236,20,695,1,20200407,4,0,-24,香港
960,25,264,28,692,-3,20200408,4,0,0,香港
973,13,293,29,676,-16,20200409,4,24,24,香港
989,16,309,16,676,0,20200410,4,39,15,香港
1000,11,336,27,660,-16,20200411,4,39,0,香港
1004,4,360,24,640,-20,20200412,4,39,0,香港
1009,5,397,37,608,-32,20200413,4,39,0,香港
1012,3,434,37,574,-34,20200414,4,39,0,香港
1016,4,459,25,553,-21,20200415,4,39,0,香港
1017,1,485,26,528,-25,20200416,4,39,0,香港
1021,4,532,47,485,-43,20200417,4,39,0,香港
1023,2,568,36,451,-34,20200418,4,39,0,香港
1025,2,602,34,419,-32,20200419,4,39,0,香港
1025,0,630,28,391,-28,20200420,4,39,0,香港
1029,4,650,20,375,-16,20200421,4,43,4,香港
1033,4,678,28,351,-24,20200422,4,47,4,香港
1035,2,699,21,332,-19,20200423,4,47,0,香港
1035,0,725,26,306,-26,20200424,4,47,0,香港
1037,2,753,28,280,-26,20200425,4,47,0,香港
1037,0,772,19,261,-19,20200426,4,47,0,香港
1037,0,787,15,246,-15,20200427,4,47,0,香港
1037,0,811,24,222,-24,20200428,4,47,0,香港
1037,0,830,19,203,-19,20200429,4,47,0,香港
1037,0,846,16,187,-16,20200430,4,47,0,香港
1039,2,859,13,176,-11,20200501,4,47,0,香港
1039,0,864,5,171,-5,20200502,4,47,0,香港
1039,0,879,15,156,-15,20200503,4,47,0,香港
1040,1,900,21,136,-20,20200504,4,47,0,香港
1040,0,920,20,116,-20,20200505,4,47,0,香港
1040,0,932,12,104,-12,20200506,4,47,0,香港
1044,4,944,12,96,-8,20200507,4,47,0,香港
1044,0,960,16,80,-16,20200508,4,47,0,香港
1044,0,967,7,73,-7,20200509,4,47,0,香港
1047,3,982,15,61,-12,20200510,4,47,0,香港
1047,0,985,3,58,-3,20200511,4,47,0,香港
1047,0,991,6,52,-6,20200512,4,47,0,香港
1050,3,1008,17,38,-14,20200513,4,47,0,香港
1051,1,1009,1,38,0,20200514,4,47,0,香港
1052,1,1019,10,29,-9,20200515,4,47,0,香港
1052,0,1022,3,26,-3,20200516,4,47,0,香港
1055,3,1024,2,27,1,20200517,4,47,0,香港
1055,0,1025,1,26,-1,20200518,4,47,0,香港
1055,0,1025,0,26,0,20200519,4,47,0,香港
1055,0,1026,1,25,-1,20200520,4,47,0,香港
1063,8,1029,3,30,5,20200521,4,47,0,香港
1065,2,1029,0,32,2,20200522,4,47,0,香港
1065,0,1029,0,32,0,20200523,4,47,0,香港
1065,0,1030,1,31,-1,20200524,4,47,0,香港
1065,0,1030,0,31,0,20200525,4,47,0,香港
1065,0,1033,3,28,-3,20200526,4,47,0,香港
1066,1,1034,1,28,0,20200527,4,47,0,香港
1066,0,1035,1,27,-1,20200528,4,47,0,香港
1079,13,1035,0,40,13,20200529,4,60,13,香港
